127.0.0.1, 2019-09-08 18:53:18, GET, /admin/ticket/movies/127.0.0.1.2019-09-08.18-52-49.ea52e226-9bed-4e5e-bdbe-91664a8d0417, HTTP/1.1, 404, 0.030915
127.0.0.1, 2019-09-08 18:53:18, GET, /favicon.ico, HTTP/1.1, 400, 0.000000
127.0.0.1, 2019-09-08 18:53:25, GET, /admin/movies/127.0.0.1.2019-09-08.18-52-49.ea52e226-9bed-4e5e-bdbe-91664a8d0417, HTTP/1.1, 404, 0.031922
127.0.0.1, 2019-09-08 18:53:25, GET, /favicon.ico, HTTP/1.1, 400, 0.000000
127.0.0.1, 2019-09-08 18:53:48, GET, /admin/default/ticket/movies/127.0.0.1.2019-09-08.18-52-49.ea52e226-9bed-4e5e-bdbe-91664a8d0417, HTTP/1.1, 200, 0.084772
127.0.0.1, 2019-09-08 18:53:48, GET, /favicon.ico, HTTP/1.1, 400, 0.001012
127.0.0.1, 2019-09-08 18:54:51, GET, /movies/default/call/json/get_recommendations, HTTP/1.1, 500, 0.257312
127.0.0.1, 2019-09-08 18:54:51, GET, /favicon.ico, HTTP/1.1, 400, 0.000000
127.0.0.1, 2019-09-08 18:55:00, GET, /static/movies/index.html, HTTP/1.1, 404, 0.000996
127.0.0.1, 2019-09-08 18:55:12, GET, /movies/static/test.html, HTTP/1.1, 304, 0.001016
127.0.0.1, 2019-09-08 18:55:12, GET, /favicon.ico, HTTP/1.1, 400, 0.000997
127.0.0.1, 2019-09-08 18:55:12, POST, /movies/default/call/json/get_recommendations, HTTP/1.1, 500, 0.641682
127.0.0.1, 2019-09-08 18:55:23, GET, /movies/static/test.html, HTTP/1.1, 304, 0.000988
127.0.0.1, 2019-09-08 18:55:23, GET, /favicon.ico, HTTP/1.1, 400, 0.000996
127.0.0.1, 2019-09-08 18:55:24, POST, /movies/default/call/json/get_recommendations, HTTP/1.1, 500, 0.788891
127.0.0.1, 2019-09-08 18:55:40, GET, /admin/debug/interact, HTTP/1.1, 200, 1.924851
127.0.0.1, 2019-09-08 18:55:40, GET, /admin/debug/interact, HTTP/1.1, 200, 0.026929
127.0.0.1, 2019-09-08 18:55:40, GET, /admin/static/_2.18.5/js/autoscroll.js, HTTP/1.1, 200, 0.444811
127.0.0.1, 2019-09-08 18:55:40, GET, /favicon.ico, HTTP/1.1, 400, 0.000000
127.0.0.1, 2019-09-08 18:55:41, GET, /favicon.ico, HTTP/1.1, 400, 0.000000
127.0.0.1, 2019-09-08 18:55:43, GET, /admin/debug/interact, HTTP/1.1, 200, 0.029922
127.0.0.1, 2019-09-08 18:55:44, GET, /favicon.ico, HTTP/1.1, 400, 0.000000
127.0.0.1, 2019-09-08 18:55:44, GET, /admin/debug/interact, HTTP/1.1, 200, 0.067819
127.0.0.1, 2019-09-08 18:55:44, GET, /admin/default/ticket/movies/127.0.0.1.2019-09-08.18-52-49.ea52e226-9bed-4e5e-bdbe-91664a8d0417, HTTP/1.1, 200, 0.064830
127.0.0.1, 2019-09-08 18:55:44, GET, /favicon.ico, HTTP/1.1, 400, 0.000999
